Tiktok_Category,GoogleId,Taxonomy
Makeup Tools,2548,Makeup Tools
Shampoo & Conditioner,2441,Shampoo & Conditioner
Sunglasses,178,Sunglasses
Necklaces,196,Necklaces
Toothpaste,1360,Toothpaste
Handbags,3032,Handbags
Toothbrushes,527,Toothbrushes
Building Toys,1254,Building Toys
Speakers,249,Speakers
Socks,209,Socks
Boxing & Martial Arts,499719,Boxing & Martial Arts
Baby Carriers,538,Baby Carriers
Laptops,328,Laptops
Dolls,1257,Dolls
Wrenches,1632,Wrenches
Suits,1594,Suits
Seeds,2802,Seeds
Swimming,1144,Swimming
Yoga & Pilates,999,Yoga & Pilates
Bottle Openers,3427,Bottle Openers
Vacuum Sealers,763,Vacuum Sealers
Socks,209,Socks
Oral Care,526,Oral Care
Mugs,2169,Mugs
Mouthwash,3040,Mouthwash
Musical Toys,1264,Musical Toys
Screwdrivers,1203,Screwdrivers
Towels,4077,Towels
Office Furniture,6362,Office Furniture
Desktop Computers,325,Desktop Computers
Welding Accessories,499947,Welding Accessories
Brooms,2857,Brooms
Menstrual Cups,8122,Menstrual Cups
Watering & Irrigation,3568,Watering & Irrigation
Golf,1043,Golf
Dresses,2271,Dresses
Arts & Crafts,16,Arts & Crafts
Clocks,3890,Clocks
Non-Dairy Milk,5724,Non-Dairy Milk
Pliers,1958,Pliers
Wedding Dresses,5329,Wedding Dresses
Candle Holders,2784,Candle Holders
Action & Toy Figures,6058,Action & Toy Figures
Watch Accessories,5122,Watch Accessories
Cat Food,3367,Cat Food
Bath Toys,3911,Bath Toys
Sports Toys,1266,Sports Toys
Mouse Pads,1993,Mouse Pads
Balloons,2587,Balloons
Scarves & Shawls,177,Scarves & Shawls
Knife Sharpeners,752,Knife Sharpeners
Shorts,207,Shorts
Rings,200,Rings
Lighting Accessories,2956,Lighting Accessories
Hula Hoops,3215,Hula Hoops
Air Conditioners,605,Air Conditioners
Electric Kettles,751,Electric Kettles
Pasta & Noodles,434,Pasta & Noodles
Sewing Machines,615,Sewing Machines
Badminton,1062,Badminton
Plates,3553,Plates
Door Hardware,6343,Door Hardware
Sponges & Scouring Pads,2796,Sponges & Scouring Pads
Hammocks,717,Hammocks
Cookware Accessories,4424,Cookware Accessories
Flying Toys,1261,Flying Toys
Temporary Tattoos,3509,Temporary Tattoos
Ear Care,506,Ear Care
Mattresses,2696,Mattresses
Webcams,312,Webcams
Headbands,1662,Headbands
Luggage Accessories,110,Luggage Accessories
Charms & Pendants,192,Charms & Pendants
Skateboarding,3276,Skateboarding
Archery,1033,Archery
Toasters,762,Toasters
Airsoft,2443,Airsoft
Popcorn,1534,Popcorn
Air Purifiers,606,Air Purifiers
Fans,608,Fans
Facial Cleansers,2526,Facial Cleansers
Water Bottles,3809,Water Bottles
Hats,173,Hats
Mops,2713,Mops
Shorts,207,Shorts
Combs & Brushes,487,Combs & Brushes
Fishing,3334,Fishing
Bras,214,Bras
Overalls,7132,Overalls
Earrings,194,Earrings
Mascara,2834,Mascara
Skirts,1581,Skirts
Coffee,1868,Coffee
Cat Toys,5001,Cat Toys
Projectors,396,Projectors
Hair Care,486,Hair Care
Bra Accessories,7207,Bra Accessories
Backpacks,100,Backpacks
Humidifiers,613,Humidifiers
Dog Toys,5010,Dog Toys
Candles,588,Candles
Squeegees,2610,Squeegees
Microphones,234,Microphones
Toners,543658,Toners
Body Makeup,5978,Body Makeup
Chairs,443,Chairs
Sports & Energy Drinks,5723,Sports & Energy Drinks
Shapewear,1578,Shapewear
Mobile Phones,267,Mobile Phones
Mirrors,595,Mirrors
Puzzles,3867,Puzzles
Belts,169,Belts
Cookware Sets,4721,Cookware Sets
Decorative Stickers,4054,Decorative Stickers
Swimwear,211,Swimwear
Dog Food,3530,Dog Food
Card Games,1247,Card Games
Vitamins & Supplements,525,Vitamins & Supplements
Kitchen Knives,665,Kitchen Knives
Casual Dresses,2271,Dresses
Perfume,479,Perfume & Cologne
Serums & Essences,479,Perfume & Cologne
Earphones & Headphones,505771,Headphones & Headsets
"Cases, Screen Protectors & Stickers",5523,Electronics Stickers & Decals
T-Shirts,212,Shirts & Tops
Bodysuits,1594,Suits
Hair & Scalp Treatments,4766,Hair Loss Treatments
Beauty Supplements,473,Cosmetics
Lipstick & Lip Gloss,2858,Lip Gloss
Manicure & Pedicure Tools,6300,Manicure Tool Sets
Fitness Machines,4589,Cardio Machines
Face Masks,5194,Masks
Moisturisers & Mists,2592,Lotion & Moisturizer
Sets,7313,Outfit Sets
"Pool, Water & Sand Toys",2672,Pool Toys
"Collars, Harnesses & Leads",6250,Pet Collars & Harnesses
Fizzy Drinks,543531,Carbonated Water
Tables & Desks,4191,Desks
Electrical Measuring Instruments,503737,Electrical Testing Tools
Peelers & Cutters,3521,Food Peelers & Corers
Knitwear,203,Outerwear
Makeup Bases and Primers,2548,Makeup Tools
Mousse & Gel,2188,Jams & Jellies
Feminine Hygiene,485,Feminine Sanitary Supplies
Oral Care Kits,526,Oral Care
"Breakfast Cereal, Granola & Oats",4689,Cereal & Granola
Weight Training,499793,Weight Lifting
Umbrellas,7107,Outdoor Umbrella Covers
Festive Decorations,596,Seasonal & Holiday Decorations
Laptop Stands & Trays,5489,Computer Risers & Stands
Boots,187,Shoes
